Datetime,v1,v2
2025-01-12 13:02:30.274238,42,17
2025-01-12 13:02:30.281236,42,17
2025-01-12 13:02:30.856905,42,17
2025-01-12 13:02:31.856223,42,17
2025-01-12 13:02:32.857135,42,17
2025-01-12 13:02:33.857885,42,17
2025-01-12 13:02:34.857263,42,17
2025-01-12 13:02:35.857377,42,17
2025-01-12 13:02:36.857586,42,17
2025-01-12 13:02:37.857682,42,17
2025-01-12 13:02:38.857536,42,17
2025-01-12 13:02:39.857258,42,17
2025-01-12 13:02:40.857220,42,17
2025-01-12 13:02:41.857125,42,17
2025-01-12 13:02:42.856947,42,17
2025-01-12 13:02:43.857335,42,17
2025-01-12 13:02:44.857102,42,17
2025-01-12 13:02:45.857149,42,17
2025-01-12 13:02:46.856629,42,17
2025-01-12 13:02:47.856985,42,17
2025-01-12 13:02:48.857000,42,17
2025-01-12 13:02:49.856554,42,17
2025-01-12 13:02:50.857388,42,17
2025-01-12 13:02:51.856593,42,17
2025-01-12 13:02:52.856426,42,17
2025-01-12 13:02:53.856821,42,17
2025-01-12 13:02:54.857433,42,17
2025-01-12 13:02:55.856347,42,17
2025-01-12 13:02:56.856742,42,17
2025-01-12 13:02:57.857096,42,17
2025-01-12 13:02:58.856787,42,17
2025-01-12 13:02:59.856918,42,17
2025-01-12 13:03:00.857106,42,17
2025-01-12 13:03:01.856333,42,17
2025-01-12 13:03:02.856985,42,17
2025-01-12 13:03:03.856306,42,17
2025-01-12 13:03:04.856973,42,17
2025-01-12 13:03:05.856883,42,17
2025-01-12 13:03:06.856888,42,17
2025-01-12 13:03:07.856386,42,17
2025-01-12 13:03:08.856943,42,17
2025-01-12 13:03:09.857086,42,17
2025-01-12 13:03:10.857093,42,17
2025-01-12 13:03:11.856096,42,17
2025-01-12 13:03:12.856726,42,17
2025-01-12 13:03:13.857050,42,17
2025-01-12 13:03:14.856702,42,17
2025-01-12 13:03:15.857120,42,17
2025-01-12 13:03:16.855813,42,17
2025-01-12 13:03:17.857074,42,17
2025-01-12 13:03:18.851702,42,17
2025-01-12 13:03:19.842073,42,17
